Title;ISSN;Categories;Top Level;Primary Level;Secondary Level;Preassigned
Proceedings of the 2nd International Conference on Intelligent Green Building and Smart Grid, IGBSG 2016;-;"Civil and Structural Engineering; Safety, Risk, Reliability and uality";Physical Sciences and Engineering;Engineering;Civil and Structural Engineering;
Proceedings of the 30th Pacific Asia Conference on Language, Information and Computation, PACLIC 2016;-;Software;Physical Sciences and Engineering;Computer Science;Software;
Proceedings of the 2nd International Workshop on Smart, SmartCities 2016;-;"Computer Networks and Communications; Computer Science Applications; Information Systems; Signal Processing";Physical Sciences and Engineering;NA;NA;
Proceedings of the 2nd Workshop on Eye Tracking and Visualization, ETVIS 2016;-;"Ceramics and Composites; Electrical and Electronic Engineering; Electronic, Optical and Magnetic Materials; Metals and Alloys";Physical Sciences and Engineering;NA;NA;
Proceedings of the 2nd Workshop on the Principles and Practice of Consistency for Distributed Data, PaPoC 2016;-;"Control and Optimization; Electrical and Electronic Engineering; Energy Engineering and Power Technology";Physical Sciences and Engineering;NA;NA;
Proceedings of the 31st International Conference on Computers and Their Applications, CATA 2016;-;"Computer Networks and Communications; Hardware and Architecture; Software";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Proceedings of the 32nd Annual ARCOM Conference, ARCOM 2016;-;Computer Networks and Communications;Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Proceedings of the 34th IEEE International Conference on Computer Design, ICCD 2016;-;"Computer Networks and Communications; Signal Processing";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Proceedings of the 3rd ACM SIGSPATIAL PhD Symposium 2016, SIGSPATIAL PhD 2016 - In conjunction with the 24th International Conference on Advances in Geographic Information Systems, ACM SIGSPATIAL 2016;-;"Computer Networks and Communications; Software";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Proceedings of the 3rd ACM International Conference on Nanoscale Computing and Communication, ACM NANOCOM 2016;-;"Automotive Engineering; Civil and Structural Engineering; Transportation";Physical Sciences and Engineering;NA;NA;
Proceedings of the 3rd Asia-Europe Symposium on Simulation and Serious Gaming - 15th ACM SIGGRAPH Conference on Virtual-Reality Continuum and Its Applications in Industry, VRCAI 2016;-;"Industrial and Manufacturing Engineering; Mechanical Engineering; Safety, Risk, Reliability and uality";Physical Sciences and Engineering;Engineering;Industrial and Manufacturing Engineering;
Proceedings of the 3rd IASTED International Conference on Telehealth and Assistive Technology, TAT 2016;-;"Computer Science Applications; Modeling and Simulation; Software";Physical Sciences and Engineering;Computer Science;Computer Science Applications;
Proceedings of the 3rd International Workshop on Data Science for Macro-Modeling with Financial and Economic Datasets, DSMM 2017 - In conjunction with the ACM SIGMOD/PODS Conference;-;Aerospace Engineering;Physical Sciences and Engineering;Engineering;Aerospace Engineering;
Proceedings of the 3rd IEEE International Conference on Logistics Operations Management, GOL 2016;-;"Control and Systems Engineering; Electrical and Electronic Engineering; Hardware and Architecture";Physical Sciences and Engineering;NA;NA;
Proceedings of the 3rd International Conference on Devices, Circuits and Systems, ICDCS 2016;-;"Computer Science Applications; Control and Optimization; Control and Systems Engineering";Physical Sciences and Engineering;NA;NA;
Proceedings of the 3rd International Workshop on Principles and Practice of Consistency for Distributed Data, PaPoC 2017 - Co-located with European Conference on Computer Systems, EuroSys 2017;-;"Computer Networks and Communications; Hardware and Architecture";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Proceedings of the 4th ACM SIGMOD Workshop on Algorithms and Systems for MapReduce and Beyond, BeyondMR 2017;-;"Artificial Intelligence; Information Systems; Software";Physical Sciences and Engineering;Computer Science;Artificial Intelligence;
Proceedings of the 4th Academic Conference of Geology Resource Management and Sustainable Development;-;"Energy Engineering and Power Technology; Fuel Technology; Renewable Energy, Sustainability and the Environment";Physical Sciences and Engineering;NA;NA;
Proceedings of the 4th International Conference on Concrete Repair, Rehabilitation and Retrofitting, ICCRRR 2015;-;"Biomedical Engineering; Computational Theory and Mathematics";Physical Sciences and Engineering;Engineering;Biomedical Engineering;
Proceedings of the 4th International Conference on Management, Leadership and Governance, ICMLG 2016;-;"Computer Networks and Communications; Control and Systems Engineering";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Proceedings of the 4th International Workshop on Energy Harvesting and Energy Neutral Systems, ENSsys 2016;-;"Computational Theory and Mathematics; Software";Physical Sciences and Engineering;Computer Science;Computational Theory and Mathematics;
Proceedings of the 4th International Workshop on Document Changes: Modeling, Detection, Storage and Visualization, DChanges 2016 - Part of the ACM Symposium on Document Engineering, DocEng 2016;-;"Computational Theory and Mathematics; Computer Science Applications; Control and Optimization; Software; Theoretical Computer Science";Physical Sciences and Engineering;NA;NA;
Proceedings of the 5th IEEE International Conference on Electric Utility Deregulation, Restructuring and Power Technologies, DRPT 2015;-;"Electrical and Electronic Engineering; Electronic, Optical and Magnetic Materials";Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
Proceedings of the 53rd Annual Rocky Mountain Bioengineering Symposium, RMBS 2016 and 53rd International ISA Biomedical Sciences Instrumentation Symposium;-;"Computer Networks and Communications; Computer Vision and Pattern Recognition; Human-Computer Interaction; Software";Physical Sciences and Engineering;NA;NA;
Proceedings of the 5th ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data, BigSpatial 2016;-;"Communication; Computer Networks and Communications; Electrical and Electronic Engineering";Physical Sciences and Engineering;NA;NA;
Proceedings of the 6th IASTED International Conference on Environment and Water Resource Management, AfricaEWRM 2016;-;"Applied Mathematics; Logic; Modeling and Simulation";Physical Sciences and Engineering;Mathematics;Applied Mathematics;
Proceedings of the 5th International Cryptology and Information Security Conference 2016, CRYPTOLOGY 2016;-;"Electrical and Electronic Engineering; Electronic, Optical and Magnetic Materials; Energy Engineering and Power Technology";Physical Sciences and Engineering;NA;NA;
Proceedings of the 6th International Conference on Logistics and Supply Chain Management;-;Software;Physical Sciences and Engineering;Computer Science;Software;
Proceedings of the 6th IASTED International Conference on Modelling and Simulation, AfricaMS 2016;-;"Artificial Intelligence; Human-Computer Interaction; Signal Processing";Physical Sciences and Engineering;NA;NA;
Proceedings of the 6th International Conference for E-Democracy and Open Government, CeDEM 2016;-;"Artificial Intelligence; Computer Networks and Communications; Software";Physical Sciences and Engineering;NA;NA;
Proceedings of the 6th International Conference Nanomaterials: Applications and Properties, NAP 2016;-;"Computational Mathematics; Computer Science; Hardware and Architecture";Physical Sciences and Engineering;NA;NA;
Proceedings of the 6th International Conference on Information Communication and Management, ICICM 2016;-;"Artificial Intelligence; Computer Science Applications; Information Systems and Management";Physical Sciences and Engineering;NA;NA;
Proceedings of the 6th International Workshop on Runtime and Operating Systems for Supercomputers, ROSS 2016 - In conjunction with HPDC 2016;-;"Computer Graphics and Computer-Aided Design; Human-Computer Interaction; Software";Physical Sciences and Engineering;Computer Science;Computer Graphics and Computer-Aided Design;
Proceedings of the 7th ACM SIGSPATIAL International Workshop on GeoStreaming, IWGS 2016;-;"Computational Theory and Mathematics; Computer Science Applications";Physical Sciences and Engineering;Computer Science;Computational Theory and Mathematics;
Proceedings of the 7th ACM SIGOPS Asia-Pacific Workshop on Systems, APSys 2016;-;"Computer Networks and Communications; Computer Vision and Pattern Recognition; Human-Computer Interaction; Software";Physical Sciences and Engineering;NA;NA;
Proceedings of the 7th Annual Symposium on Computing for Development, ACM DEV-7 2016;-;"Automotive Engineering; Oceanography";Physical Sciences and Engineering;Engineering;Automotive Engineering;
Proceedings of the 7th ACM Symposium on Cloud Computing, SoCC 2016;-;"Artificial Intelligence; Computer Vision and Pattern Recognition";Physical Sciences and Engineering;NA;NA;
Proceedings of the 7th International Conference on Future Energy Systems, e-Energy 2016;-;"Energy Engineering and Power Technology; Mechanical Engineering";Physical Sciences and Engineering;Energy;Energy Engineering and Power Technology;
Proceedings of the 7th International Conference on Future Energy Systems Poster Sessions, e-Energy 2016;-;"Computer Networks and Communications; Computer Science Applications; Health Informatics";Physical Sciences and Engineering;NA;NA;
Proceedings of the 7th International Conference on Multimedia Systems, MMSys 2016;-;"Geology; Geotechnical Engineering and Engineering Geology";Physical Sciences and Engineering;Earth and Planetary Sciences;Geotechnical Engineering and Engineering Geology;
Proceedings of the 8th Electrical Insulation Conference, EIC 1968;-;"Computer Networks and Communications; Information Systems; Signal Processing";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Proceedings of the 7th International Workshop on Programming Models and Applications for Multicores and Manycores, PMAM 2016;-;"Computer Networks and Communications; Control and Systems Engineering; Energy Engineering and Power Technology";Physical Sciences and Engineering;NA;NA;
Proceedings of the 8th ACM SIGSPATIAL International Workshop on Indoor Spatial Awareness, ISA 2016;-;"Control and Optimization; Control and Systems Engineering; Energy Engineering and Power Technology";Physical Sciences and Engineering;NA;NA;
Proceedings of the 8th International Conference on Advanced Computational Intelligence, ICACI 2016;-;Energy Engineering and Power Technology;Physical Sciences and Engineering;Energy;Energy Engineering and Power Technology;
Proceedings of the 8th Global WordNet Conference, GWC 2016;-;"Computer Networks and Communications; Hardware and Architecture; Information Systems; Modeling and Simulation";Physical Sciences and Engineering;NA;NA;
Proceedings of the 8th International Workshop on Massively Multiuser Virtual Environments, MMVE 2016;-;"Artificial Intelligence; Software";Physical Sciences and Engineering;Computer Science;Artificial Intelligence;
Proceedings of the 8th International Conference on Bioinformatics and Computational Biology, BICOB 2016;-;"Computer Networks and Communications; Computer Science Applications; Information Systems; Information Systems and Management";Physical Sciences and Engineering;NA;NA;
Proceedings of the 8th International Workshop on Context-Oriented Programming, COP 2016;-;"Computer Graphics and Computer-Aided Design; Computer Vision and Pattern Recognition; Human-Computer Interaction";Physical Sciences and Engineering;NA;NA;
Proceedings of the 8th International Workshop on Programming Models and Applications for Multicores and Manycores, PMAM 2017;-;"Hardware and Architecture; Software";Physical Sciences and Engineering;Computer Science;Hardware and Architecture;
Proceedings of the 9th ACM SIGSPATIAL International Workshop on Computational Transportation Science, IWCTS 2016;-;"Computer Graphics and Computer-Aided Design; Information Systems";Physical Sciences and Engineering;Computer Science;Computer Graphics and Computer-Aided Design;
Proceedings of the 9th European Workshop on System Security, EuroSec 2016;-;Geophysics;Physical Sciences and Engineering;Earth and Planetary Sciences;Geophysics;
Proceedings of the 9th ACM SIGSPATIAL Workshop on Location-Based Social Networks, LBSN 2016;-;"Computer Networks and Communications; Hardware and Architecture; Safety, Risk, Reliability and uality; Software";Physical Sciences and Engineering;NA;NA;
Proceedings of the 9th International Conference on Bioinformatics and Computational Biology, BICOB 2017;-;"Energy Engineering and Power Technology; Fuel Technology";Physical Sciences and Engineering;Energy;Energy Engineering and Power Technology;
Proceedings of the 9th IADIS International Conference Information Systems 2016, IS 2016;-;"Industrial and Manufacturing Engineering; Materials Science; Mechanical Engineering; Mechanics of Materials";Physical Sciences and Engineering;NA;NA;
Proceedings of the 9th Latin America Networking Conference, LANC 2016;-;"Computer Graphics and Computer-Aided Design; Computer Vision and Pattern Recognition; Software";Physical Sciences and Engineering;Computer Science;Computer Graphics and Computer-Aided Design;
Proceedings of the 9th International Conference on Standardization and Innovation in Information Technology, IEEE SIIT 2015;-;"Computer Graphics and Computer-Aided Design; Computer Vision and Pattern Recognition; Human-Computer Interaction";Physical Sciences and Engineering;NA;NA;
Proceedings of the ACM Conference on Computer and Communications Security;15437221;"Computer Networks and Communications; Software";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Proceedings of the ACM Conference on Computer Supported Cooperative Work, CSCW;-;"Computer Networks and Communications; Human-Computer Interaction; Software";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Proceedings of the ACM Conference on Computer Supported Cooperative Work, CSCW;-;"Computer Networks and Communications; Computer Vision and Pattern Recognition; Human-Computer Interaction; Software";Physical Sciences and Engineering;NA;NA;
Proceedings of the ACM Great Lakes Symposium on VLSI, GLSVLSI;-;Engineering;Physical Sciences and Engineering;Engineering;Engineering (General);
Proceedings of the ACM Great Lakes Symposium on VLSI, GLSVLSI;-;"Computer Networks and Communications; Computer Vision and Pattern Recognition; Human-Computer Interaction; Software";Physical Sciences and Engineering;NA;NA;
Proceedings of the ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems;-;"Hardware and Architecture; Information Systems; Software";Physical Sciences and Engineering;Computer Science;Hardware and Architecture;
Proceedings of the ACM SIGMOD International Conference on Management of Data;7308078;"Information Systems; Software";Physical Sciences and Engineering;Computer Science;Information Systems;
Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining;-;"Biomedical Engineering; Instrumentation; Signal Processing";Physical Sciences and Engineering;NA;NA;
Proceedings of the ACM SIGPLAN Conference on Languages, Compilers, and Tools for Embedded Systems (LCTES);-;Software;Physical Sciences and Engineering;Computer Science;Software;
Proceedings of the ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI);-;Software;Physical Sciences and Engineering;Computer Science;Software;
Proceedings of the ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming, PPOPP;-;Software;Physical Sciences and Engineering;Computer Science;Software;
Proceedings of the ACM Symposium on Applied Computing;-;"Electronic, Optical and Magnetic Materials; Mechanics of Materials";Physical Sciences and Engineering;Materials Science;Electronic, Optical and Magnetic Materials;
Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering;-;"Computer Networks and Communications; Computer Science Applications; Computer Vision and Pattern Recognition; Hardware and Architecture; Instrumentation; Signal Processing";Physical Sciences and Engineering;NA;NA;
Proceedings of the ACM Symposium on Applied Computing;-;Software;Physical Sciences and Engineering;Computer Science;Software;
Proceedings of the ACM Symposium on Virtual Reality Software and Technology, VRST;-;"Artificial Intelligence; Control and Optimization; Software";Physical Sciences and Engineering;Computer Science;Artificial Intelligence;
Proceedings of the ACM/IEEE Joint Conference on Digital Libraries;15525996;Engineering;Physical Sciences and Engineering;Engineering;Engineering (General);
Proceedings of the AES International Conference;-;Engineering;Physical Sciences and Engineering;Engineering;Engineering (General);
Proceedings of the Air & Waste Management Association's Annual Meeting & Exhibition;10526102;Engineering;Physical Sciences and Engineering;Engineering;Engineering (General);
Proceedings of the AINL FRUCT 2016 Conference;-;"Artificial Intelligence; Computer Networks and Communications; Control and Optimization; Control and Systems Engineering; Industrial and Manufacturing Engineering; Safety, Risk, Reliability and uality";Physical Sciences and Engineering;NA;NA;
Proceedings of the American Control Conference;7431619;Electrical and Electronic Engineering;Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
Proceedings of the American Gas Association, Operating Section;997250;"Energy Engineering and Power Technology; Fuel Technology; Geology";Physical Sciences and Engineering;Energy;Energy Engineering and Power Technology;
Proceedings of the American Mathematical Society;10886826;"Applied Mathematics;Mathematics ";Physical Sciences and Engineering;Mathematics;Applied Mathematics;
Proceedings of the American Society for Composites - 31st Technical Conference, ASC 2016;-;Atomic and Molecular Physics, and Optics;Physical Sciences and Engineering;Physics and Astronomy;Atomic and Molecular Physics, and Optics;
Proceedings of the Annual ACM Symposium on Principles of Distributed Computing;-;"Computational Theory and Mathematics; Computer Networks and Communications; Software";Physical Sciences and Engineering;Computer Science;Computational Theory and Mathematics;
Proceedings of the Annual ACM Symposium on Principles of Distributed Computing;-;"Computer Networks and Communications; Hardware and Architecture; Software";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Proceedings of the Annual ACM Symposium on Theory of Computing;7378017;Software;Physical Sciences and Engineering;Computer Science;Software;
Proceedings of the Annual ACM-SIAM Symposium on Discrete Algorithms;-;"Mathematics; Software";Physical Sciences and Engineering;Mathematics;Mathematics (General);
Proceedings of the Annual Conference of the Prognostics and Health Management Society, PHM;23250178;"Computer Networks and Communications; Electrical and Electronic Engineering";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Proceedings of the Annual Conference of the International Speech Communication Association, INTERSPEECH;19909772;"Human-Computer Interaction; Language and Linguistics; Modeling and Simulation; Signal Processing; Software";Physical Sciences and Engineering;NA;NA;
Proceedings of the Annual Hawaii International Conference on System Sciences;15301605;Engineering;Physical Sciences and Engineering;Engineering;Engineering (General);
Proceedings of the Annual IEEE International Frequency Control Symposium;1616404;"Control and Systems Engineering; Electrical and Electronic Engineering";Physical Sciences and Engineering;Engineering;Control and Systems Engineering;
Proceedings of the Annual International Conference on Mobile Computing and Networking, MOBICOM;-;Electrical and Electronic Engineering;Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
Proceedings of the Annual International Conference on Mobile Computing and Networking, MOBICOM;-;"Computer Networks and Communications; Computer Science Applications; Computer Vision and Pattern Recognition; Hardware and Architecture; Signal Processing";Physical Sciences and Engineering;NA;NA;
Proceedings of the Annual ISA Analysis Division Symposium;10506527;Instrumentation;Physical Sciences and Engineering;Physics and Astronomy;Instrumentation;
Proceedings of the Annual International Symposium on Microarchitecture, MICRO;10724451;"Engineering; Hardware and Architecture";Physical Sciences and Engineering;NA;NA;
Proceedings of the Annual Reliability and Maintainability Symposium;0149144X;"Computer Science Applications; Mathematics; Safety, Risk, Reliability and uality";Physical Sciences and Engineering;Computer Science;Computer Science Applications;
Proceedings of the Annual Offshore Technology Conference;1603663;"Energy Engineering and Power Technology; Mechanical Engineering; Ocean Engineering; Safety, Risk, Reliability and uality";Physical Sciences and Engineering;NA;NA;
Proceedings of the Annual Southeastern Symposium on System Theory;-;"Control and Systems Engineering; Mathematics";Physical Sciences and Engineering;Engineering;Control and Systems Engineering;
Proceedings of the Annual Southwestern Petroleum Short Course;3615987;"Geology; Geotechnical Engineering and Engineering Geology";Physical Sciences and Engineering;Earth and Planetary Sciences;Geotechnical Engineering and Engineering Geology;
Proceedings of the Asian Test Symposium;10817735;Electrical and Electronic Engineering;Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
Proceedings of the Annual Symposium on Instrumentation for the Process Industries;967963;"Control and Systems Engineering; Industrial and Manufacturing Engineering; Instrumentation";Physical Sciences and Engineering;NA;NA;
Proceedings of the Asia and South Pacific Design Automation Conference, ASP-DAC;-;"Computer Networks and Communications; Computer Science Applications; Computer Vision and Pattern Recognition; Hardware and Architecture";Physical Sciences and Engineering;NA;NA;
Proceedings of the ASME Design Engineering Technical Conference;-;"Computer Networks and Communications; Information Systems";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Proceedings of the ASME Turbo Expo;-;Engineering;Physical Sciences and Engineering;Engineering;Engineering (General);
Proceedings of the ASME Design Engineering Technical Conference;-;"Computer Networks and Communications; Electrical and Electronic Engineering; Electronic, Optical and Magnetic Materials; Instrumentation";Physical Sciences and Engineering;NA;NA;
Proceedings of the ASME Design Engineering Technical Conference;-;"Environmental Engineering; Geophysics; Geotechnical Engineering and Engineering Geology";Physical Sciences and Engineering;NA;NA;
Proceedings of the ASME Turbo Expo;-;"Computer Networks and Communications; Human-Computer Interaction; Information Systems; Software";Physical Sciences and Engineering;NA;NA;
Proceedings of the ASME Turbo Expo;-;"Computational Theory and Mathematics; Computer Science Applications; Information Systems; Modeling and Simulation";Physical Sciences and Engineering;NA;NA;
Proceedings of the ASME Turbo Expo;-;"Computer Networks and Communications; Electrical and Electronic Engineering";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Proceedings of the ASME Turbo Expo;-;"Electrical and Electronic Engineering; Energy Engineering and Power Technology";Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
Proceedings of the Biennial Baltic Electronics Conference, BEC;17363705;Electrical and Electronic Engineering;Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
Proceedings of the ASME Turbo Expo;-;"Computer Networks and Communications; Computer Science Applications; Information Systems; Signal Processing";Physical Sciences and Engineering;NA;NA;
Proceedings of the Biennial International Pipeline Conference, IPC;-;"Electrical and Electronic Engineering; Energy Engineering and Power Technology";Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
Proceedings of the Conference on Object-Oriented Programming Systems, Languages, and Applications, OOPSLA;-;Human-Computer Interaction;Physical Sciences and Engineering;Computer Science;Human-Computer Interaction;
Proceedings of the Custom Integrated Circuits Conference;8865930;Electrical and Electronic Engineering;Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
Proceedings of the Conference on the Industrial and Commercial Use of Energy, ICUE;2166059X;"Energy Engineering and Power Technology; Fuel Technology; Renewable Energy, Sustainability and the Environment";Physical Sciences and Engineering;NA;NA;
Proceedings of the Data Compression Conference;10680314;Computer Networks and Communications;Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Proceedings of the Edinburgh Mathematical Society;14643839;Mathematics 2;Physical Sciences and Engineering;Mathematics;Mathematics (General);
Proceedings of the Estonian Academy of Sciences;17366046;Engineering 2;Physical Sciences and Engineering;Engineering;Engineering (General);
Proceedings of the Electronic Packaging Technology Conference, EPTC;-;"Mechanical Engineering; Renewable Energy, Sustainability and the Environment";Physical Sciences and Engineering;NA;NA;
Proceedings of the European Conference on Innovation and Entrepreneurship, ECIE;20491050;"Electrical and Electronic Engineering; Mechanical Engineering";Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
Proceedings of the European Conference on Games-based Learning;20490992;"Artificial Intelligence; Computer Graphics and Computer-Aided Design; Computer Networks and Communications; Control and Systems Engineering; Education; E-learning; Human-Computer Interaction; Software";Physical Sciences and Engineering;NA;NA;
Proceedings of the European Conference on Synthetic Aperture Radar, EUSAR;21974403;"Control and Systems Engineering; Instrumentation; Signal Processing";Physical Sciences and Engineering;Engineering;Control and Systems Engineering;
Proceedings of the European Conference on IS Management and Evaluation, ECIME;20488912;"Computer Networks and Communications; Computer Science Applications; Hardware and Architecture; Information Systems; Instrumentation; Signal Processing";Physical Sciences and Engineering;NA;NA;
Proceedings of the General Purpose GPUs, GPGPU-10 2017;-;"Control and Optimization; Software";Physical Sciences and Engineering;Mathematics;Control and Optimization;
Proceedings of the Geologists Association;167878;"Geology 2; Paleontology 2";Physical Sciences and Engineering;Earth and Planetary Sciences;Geology;Yes
Proceedings of the IASTED International Conference on Modelling, Identification, and Control, MIC;10258973;"Computer Science Applications; Modeling and Simulation; Software";Physical Sciences and Engineering;Computer Science;Computer Science Applications;
Proceedings of the ICE - Engineering History and Heritage;17579430;Engineering 3;Physical Sciences and Engineering;Engineering;Engineering (General);
Proceedings of the IEEE Bipolar/BiCMOS Circuits and Technology Meeting;10889299;Electrical and Electronic Engineering;Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
Proceedings of the IEEE;15582256;"Computer Science;Electrical and Electronic Engineering ";Physical Sciences and Engineering;NA;NA;
Proceedings of the IEEE Annual Simulation Symposium;2724715;"Modeling and Simulation; Software";Physical Sciences and Engineering;NA;NA;
Proceedings of the IEEE Computer Society Conference on Computer  Vision and Pattern Recognition;10636919;"Computer Vision and Pattern Recognition; Software";Physical Sciences and Engineering;Computer Science;Computer Vision and Pattern Recognition;
Proceedings of the IEEE International Conference on Computer Vision;15505499;"Computer Vision and Pattern Recognition; Software";Physical Sciences and Engineering;Computer Science;Computer Vision and Pattern Recognition;
Proceedings of the IEEE Conference on Decision and Control;1912216;"Control and Optimization; Control and Systems Engineering; Modeling and Simulation";Physical Sciences and Engineering;NA;NA;
Proceedings of the IEEE Conference on Nanotechnology;19449399;"Bioengineering; Condensed Matter Physics; Electrical and Electronic Engineering; Materials Chemistry";Physical Sciences and Engineering;NA;NA;
Proceedings of the IEEE International Conference on Advanced Materials for Science and Engineering: Innovation, Science and Engineering, IEEE-ICAMSE 2016;-;"Computer Networks and Communications; Computer Science Applications; Hardware and Architecture; Information Systems; Safety, Risk, Reliability and uality";Physical Sciences and Engineering;NA;NA;
Proceedings of the IEEE International Conference on Electronics, Circuits, and Systems;-;Engineering;Physical Sciences and Engineering;Engineering;Engineering (General);
Proceedings of the IEEE International Conference on Engineering of Complex Computer Systems, ICECCS;-;"Computer Networks and Communications; Hardware and Architecture";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Proceedings of the IEEE International Conference on Industrial Technology;-;"Computer Science Applications; Electrical and Electronic Engineering";Physical Sciences and Engineering;Computer Science;Computer Science Applications;
Proceedings of the IEEE International Conference on Engineering of Complex Computer Systems, ICECCS;-;"Automotive Engineering; Energy Engineering and Power Technology; Transportation";Physical Sciences and Engineering;NA;NA;
Proceedings of the IEEE International Conference on Software Engineering and Service Sciences, ICSESS;23270586;Software;Physical Sciences and Engineering;Computer Science;Software;
Proceedings of the IEEE International Conference on Micro Electro Mechanical Systems (MEMS);10846999;"Condensed Matter Physics; Electrical and Electronic Engineering; Electronic, Optical and Magnetic Materials; Mechanical Engineering";Physical Sciences and Engineering;NA;NA;
Proceedings of the IEEE International Conference on Properties and Applications of Dielectric Materials;-;"Condensed Matter Physics; Electronic, Optical and Magnetic Materials; Materials Chemistry";Physical Sciences and Engineering;NA;NA;
Proceedings of the IEEE International Conference on VLSI Design;10639667;"Electrical and Electronic Engineering; Hardware and Architecture";Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
Proceedings of the IEEE Power Engineering Society Transmission and Distribution Conference;21608555;"Electrical and Electronic Engineering; Energy; Engineering";Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
Proceedings of the IEEE International Symposium on Computer-Aided Control System Design;21653011;"Computer Science Applications; Control and Optimization; Control and Systems Engineering";Physical Sciences and Engineering;NA;NA;
Proceedings of the IEEE National Aerospace Electronics Conference, NAECON;5473578;"Industrial and Manufacturing Engineering; Management of Technology and Innovation; Strategy and Management";Physical Sciences and Engineering;NA;NA;
Proceedings of the IEEE Real-Time and Embedded Technology and Applications Symposium, RTAS;15453421;Engineering;Physical Sciences and Engineering;Engineering;Engineering (General);
Proceedings of the IEEE RAS and EMBS International Conference on Biomedical Robotics and Biomechatronics;21551774;"Artificial Intelligence; Biomedical Engineering; Mechanical Engineering";Physical Sciences and Engineering;NA;NA;
Proceedings of the IEEE VLSI Test Symposium;-;"Computer Science Applications; Electrical and Electronic Engineering";Physical Sciences and Engineering;Computer Science;Computer Science Applications;
Proceedings of the IEEE Sensor Array and Multichannel Signal Processing Workshop;2151870X;"Control and Systems Engineering; Electrical and Electronic Engineering; Signal Processing";Physical Sciences and Engineering;NA;NA;
Proceedings of the IEEE Southwest Symposium on Image Analysis and Interpretation;-;"Computer Science Applications; Computer Vision and Pattern Recognition; Software";Physical Sciences and Engineering;NA;NA;
Proceedings of the IEEE Symposium on Reliable Distributed Systems;10609857;"Computer Networks and Communications; Hardware and Architecture; Software; Theoretical Computer Science";Physical Sciences and Engineering;NA;NA;
Proceedings of the IEEE/ION Position, Location and Navigation Symposium, PLANS 2016;-;"Computer Networks and Communications; Media Technology; Signal Processing";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Proceedings of the Indian Academy of Sciences: Mathematical Sciences;2534142;Mathematics 3;Physical Sciences and Engineering;Mathematics;Mathematics (General);
Proceedings of the Information Visualization Conference;10939547;"Computer Vision and Pattern Recognition; Signal Processing; Software";Physical Sciences and Engineering;Computer Science;Computer Vision and Pattern Recognition;
Proceedings of the Institute of Mathematics and Mechanics;24094994;Mathematics 3;Physical Sciences and Engineering;Mathematics;Mathematics (General);
Proceedings of the Institute of Acoustics;14786095;"Acoustics and Ultrasonics; Electrical and Electronic Engineering";Physical Sciences and Engineering;NA;NA;
Proceedings of the Institution of Civil Engineers (London). Part 1 - Design & Construction;3078353;Engineering 4;Physical Sciences and Engineering;Engineering;Engineering (General);
Proceedings of the Institution of Civil Engineers: Bridge Engineering;17517664;"Building and Construction 2; Civil and Structural Engineering 3";Physical Sciences and Engineering;Engineering;BuildingConstruction;
Proceedings of the Institution of Civil Engineers: Civil Engineering;17517672;Civil and Structural Engineering 3;Physical Sciences and Engineering;Engineering;Civil and Structural Engineering;
Proceedings of the Institution of Civil Engineers: Engineering and Computational Mechanics;17550785;"Civil and Structural Engineering 3; Mechanics of Materials 4";Physical Sciences and Engineering;Engineering;Civil and Structural Engineering;
